Date,Open,High,Low,Close,Volume,SMAVG (15)
2013-04-17 10:30,155.632,155.632,154.52,155.01,35433664,24204314
2013-04-17 9:30,156.29,156.32,155.37,155.64,38522260,23601100
2013-04-16 15:30,157.12,157.49,157.09,157.41,23373132,22044342
2013-04-16 14:30,156.921,157.14,156.68,157.11,13499426,21111040
2013-04-16 13:30,157.14,157.28,156.78,156.93,10722256,20632060
2013-04-16 12:30,156.85,157.23,156.82,157.13,9864000,20602170
2013-04-16 11:30,156.61,156.99,156.52,156.86,13507667,20694958
2013-04-16 10:30,156.201,156.65,155.91,156.61,20912180,21235748
2013-04-16 9:30,156.29,156.57,156.1,156.21,33484720,21378706
2013-04-15 15:30,155.84,155.91,155.1,155.158,45791448,20240490
2013-04-15 14:30,156.2,156.77,155.66,155.84,43801476,17817244
2013-04-15 13:30,156.675,156.71,156.04,156.19,16001283,15575899
2013-04-15 12:30,157.08,157.1,156.33,156.675,19449072,15085848
2013-04-15 11:30,157.65,157.915,156.98,157.086,19394922,14629003
2013-04-15 10:30,157.74,158.03,157.54,157.651,19307192,14494310
2013-04-15 9:30,158,158.13,157.46,157.741,26385460,14497307
2013-04-12 15:30,158.635,158.83,158.6,158.8,15170902,14129104
2013-04-12 14:30,158.42,158.74,158.37,158.635,9373598,13783139
2013-04-12 13:30,158.53,158.67,158.42,158.42,6314733,13777781
2013-04-12 12:30,158.29,158.8,158.29,158.5399,10273886,14109569
2013-04-12 11:30,158.3,158.5,158.14,158.3,11255818,14176726
2013-04-12 10:30,158.68,158.7,157.92,158.3,21619518,14816267
2013-04-12 9:30,158.68,159.04,158.49,158.6801,23056552,15047414
2013-04-11 15:30,159.29,159.42,159.03,159.17,16411487,14666313
2013-04-11 14:30,159.235,159.525,159.185,159.28,9442748,14383288
2013-04-11 13:30,159.4495,159.63,159.06,159.231,10181309,14460336
2013-04-11 12:30,159.22,159.62,159.22,159.45,8650524,14571294
2013-04-11 11:30,159.6,159.6201,159.17,159.22,12596392,14486372
2013-04-11 10:30,159.16,159.71,158.98,159.6,17374530,14397889
